acid_id,acid_name,formula,concentration_pct,temperature_c,density_kg_l
nitric,硝酸,HNO3,38,50,1.2054
nitric,硝酸,HNO3,38,60,1.1956
nitric,硝酸,HNO3,38,80,1.1752
nitric,硝酸,HNO3,38,100,1.154
nitric,硝酸,HNO3,39,0,1.2581
nitric,硝酸,HNO3,39,5,1.2546
nitric,硝酸,HNO3,39,10,1.2494
nitric,硝酸,HNO3,39,15,1.2446
nitric,硝酸,HNO3,39,20,1.2399
nitric,硝酸,HNO3,39,25,1.2354
nitric,硝酸,HNO3,39,30,1.2308
nitric,硝酸,HNO3,39,40,1.221
nitric,硝酸,HNO3,39,50,1.2112
nitric,硝酸,HNO3,39,60,1.2013
nitric,硝酸,HNO3,39,80,1.1805
nitric,硝酸,HNO3,39,100,1.1589
nitric,硝酸,HNO3,40,0,1.2649
nitric,硝酸,HNO3,40,5,1.2613
nitric,硝酸,HNO3,40,10,1.256
nitric,硝酸,HNO3,40,15,1.2511
nitric,硝酸,HNO3,40,20,1.2463
nitric,硝酸,HNO3,40,25,1.2417
nitric,硝酸,HNO3,40,30,1.237
nitric,硝酸,HNO3,40,40,1.227
nitric,硝酸,HNO3,40,50,1.217
nitric,硝酸,HNO3,40,60,1.2069
nitric,硝酸,HNO3,40,80,1.1858
nitric,硝酸,HNO3,40,100,1.1638
nitric,硝酸,HNO3,41,0,1.2717
nitric,硝酸,HNO3,41,5,1.268
nitric,硝酸,HNO3,41,10,1.2626
nitric,硝酸,HNO3,41,15,1.2576
nitric,硝酸,HNO3,41,20,1.2527
nitric,硝酸,HNO3,41,25,1.248
nitric,硝酸,HNO3,41,30,1.2432
nitric,硝酸,HNO3,41,40,1.233
nitric,硝酸,HNO3,41,50,1.2229
nitric,硝酸,HNO3,41,60,1.2126
nitric,硝酸,HNO3,41,80,1.1911
nitric,硝酸,HNO3,41,100,1.1687
nitric,硝酸,HNO3,42,0,1.2786
nitric,硝酸,HNO3,42,5,1.2747
nitric,硝酸,HNO3,42,10,1.2692
nitric,硝酸,HNO3,42,15,1.2641
nitric,硝酸,HNO3,42,20,1.2591
nitric,硝酸,HNO3,42,25,1.2543
nitric,硝酸,HNO3,42,30,1.2494
nitric,硝酸,HNO3,42,40,1.239
nitric,硝酸,HNO3,42,50,1.2287
nitric,硝酸,HNO3,42,60,1.2182
nitric,硝酸,HNO3,42,80,1.1963
nitric,硝酸,HNO3,42,100,1.1735
nitric,硝酸,HNO3,43,0,1.2854
nitric,硝酸,HNO3,43,5,1.2814
nitric,硝酸,HNO3,43,10,1.2758
nitric,硝酸,HNO3,43,15,1.2706
nitric,硝酸,HNO3,43,20,1.2655
nitric,硝酸,HNO3,43,25,1.2606
nitric,硝酸,HNO3,43,30,1.2556
nitric,硝酸,HNO3,43,40,1.245
nitric,硝酸,HNO3,43,50,1.2345
nitric,硝酸,HNO3,43,60,1.2238
nitric,硝酸,HNO3,43,80,1.2015
nitric,硝酸,HNO3,43,100,1.1783
nitric,硝酸,HNO3,44,0,1.2922
nitric,硝酸,HNO3,44,5,1.288
nitric,硝酸,HNO3,44,10,1.2824
nitric,硝酸,HNO3,44,15,1.2771
nitric,硝酸,HNO3,44,20,1.2719
nitric,硝酸,HNO3,44,25,1.2669
nitric,硝酸,HNO3,44,30,1.2618
nitric,硝酸,HNO3,44,40,1.251
nitric,硝酸,HNO3,44,50,1.2403
nitric,硝酸,HNO3,44,60,1.2294
