化学式,结晶水,0℃,10℃,20℃,25℃,30℃,40℃,50℃,60℃,70℃,80℃,90℃,100℃
$\text{Na}_2\text{CrO}_4$,四水,48.5,87.5,181.0,207.0,210.0,241,280,340.2,400,407,414,430
$\text{Na}_2\text{S}$,无水,12.5,15.2,18.6,20.6,22.9,28.4,36.4,39.1,43.3,49.3,57.2,69.5
$\text{Na}_2\text{S}$,九水,52.0,68.4,93.3,111.0,134.0,213,460,(熔融),-,-,-,-
$\text{Na}_2\text{S}_2\text{O}_3$,无水,49.5,57.0,68.4,76.4,84.8,108.0,165,192.0,221,227,234,245
$\text{Na}_2\text{S}_2\text{O}_3$,五水,108.0,133.0,176.0,212.0,258.0,440.7,(熔融),-,-,-,-,-
$\text{Na}_2\text{S}_2\text{O}_5$,,45.1,62.3,65.3,66.7,68.4,71.8,75.4,79.2,83.5,88.0,92.7,98.0
$\text{Na}_2\text{SO}_3$,,13.6,19.2,26.4,30.7,35.7,37.6,35.0,33.0,31.1,29.5,28.4,27.4
$\text{Na}_2\text{SO}_4$,无水,4.5,9.6,19.23,28.11,41.28,47.82,46.09,44.7,43.66,42.90,42.43,42.19
$\text{Na}_2\text{SO}_4$,十水,10.8,24.8,57.69,99.09,196.5,(熔融),-,-,-,-,-,-
$\text{NaBr}$,,79.9,84.8,91.2,94.6,98.4,107.0,116,118.0,119,120,121,122
$\text{NaBrO}_3$,,25.0,30.2,36.3,39.4,42.6,48.9,55.2,61.4,67.7,74.0,-,90.8
$\text{NaC}_2\text{H}_3\text{O}_2$,无水,36.1,40.4,46.6,50.4,55.0,66.4,82.1,140.0,146,153,161,170
$\text{NaC}_2\text{H}_3\text{O}_2$,三水,78.6,91.3,112.0,125.0,143.0,196,297,(熔融),-,-,-,-
$\text{NaCl}$,,35.65,35.72,35.89,35.96,36.09,36.37,36.69,37.04,37.46,37.9,38.47,38.99
$\text{NaClO}_3$,,79.44,87.51,97.2,100.0,105.0,116.0,125,133.0,141,153,172,204
$\text{NaClO}_4$,无水,162.0,179.0,196.0,205.0,215.0,238.0,264,286.0,295,307,318,329
$\text{NaClO}_4$,一水,244.0,278.8,316.0,336.7,360.8,420.2,495,566.5,598,642,686,732
$\text{NaF}$,,3.65,3.86,4.05,4.13,4.22,4.38,4.54,4.67,4.79,4.89,4.99,5.06
$\text{NaHCO}_3$,,6.93,8.21,9.57,10.3,11.0,12.52,14.2,15.9,17.67,19.57,21.55,23.6
$\text{NaI}$,无水,158.0,166.0,177.0,184.0,192.0,210.0,231,257.0,295,297,298,302
$\text{NaI}$,二水,316.0,342.6,382.1,409.2,442.3,526.0,644,834.0,1258,1288,1303,1367
$\text{NaIO}_3$,无水,2.49,4.6,8.44,9.47,10.6,13.21,16.27,19.79,23.84,26.7,29.7,32.8
$\text{NaIO}_3$,一水,2.72,5.04,9.28,10.4,11.7,14.59,18.02,21.99,26.59,29.9,33.3,36.9
$\text{NaNO}_2$,,72.1,76.7,82.1,84.8,88.0,94.9,103,112.0,122,134,147,162
$\text{NaNO}_3$,,73.0,79.9,87.3,91.2,95.3,104.0,114,124.0,135,148,161,176
$\text{NaOH}$,,42.9,63.9,85.2,100.0,113.0,138.0,170,203.0,245,285,317,376
$\text{NiCl}_2$,无水,53.1,56.5,62.6,67.5,71.5,72.7,76.1,81.8,85.5,85.9,86.6,87.3
$\text{NiCl}_2$,六水,175.0,196.0,240.0,283.0,325.0,339,382,472,547,556,572,589
$\text{Ni(NO}_3)_2$,无水,78.9,85.2,93.8,99.2,105.0,120.0,140,156.0,171,191,212,223
$\text{Ni(NO}_3)_2$,六水,236.0,273.0,335.0,382.0,441.2,658.5,1298,(熔融),-,-,-,-
$\text{NiSO}_4$,六水,27.2,32.3,37.7,40.4,43.5,47.1,51.7,55.8,60.5,66.4,73.3,81.2
$\text{PbBr}_2$,,0.450,0.630,0.97,-,1.12,1.50,-,2.29,-,3.32,3.86,4.55
$\text{PbCl}_2$,,0.664,0.817,0.99,1.08,1.18,1.41,1.67,1.97,2.29,2.67,3.08,3.54
$\text{Pb(NO}_3)_2$,,39.78,47.34,55.45,59.69,64.07,73.07,82.38,91.9,101.7,111.5,121.3,131.2
$\text{SrCl}_2$,无水,46.93,49.1,52.51,54.73,57.31,63.75,72.24,83.28,88.01,91.17,94.9,99.48
$\text{SrCl}_2$,六水,116.1,124.0,137.6,146.9,158.2,189.7,239.4,324.1,(熔融),-,-,-
$\text{Sr(NO}_3)_2$,,39.3,52.9,69.5,80.2,88.7,90.1,91.9,93.8,95.7,98.0,100,103
$\text{Sr(OH)}_2$,无水,0.41,0.56,0.81,1.01,1.23,1.77,-,3.68,-,8.3,-,27.9
$\text{Sr(OH)}_2$,八水,0.9,1.23,1.79,2.23,2.73,3.95,-,8.41,-,20.1,-,91.1
$\text{ZnSO}_4$,无水,41.0,47.1,53.8,57.7,61.8,70.4,75.4,72.7,69.5,66.4,63.4,60.3
$\text{ZnSO}_4$,七水,107.0,133.0,165.0,187.0,213.0,279,327,300,271,246,224,203
